"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"110130 MIRANTE DA SERRA";"0";"0";"45,10";"76,88";"119,61";"107,57";"109,69";"147,62";"117,17";"118,00";"68,58";"165,47";"170,05";"385,71";"117,14";"85,71";"71,85";"89,50";"78,15";"94,33";"100,68";"104,10";"114,60";"129,20";"60,81";"58,97";"26,92";"88,67"
"110140 MONTE NEGRO";"0";"14,02";"0";"69,29";"10,33";"50,30";"103,76";"84,44";"96,55";"80,61";"99,02";"98,97";"111,49";"174,05";"111,11";"125,74";"117,72";"110,13";"102,53";"124,68";"123,53";"103,60";"102,94";"111,27";"103,47";"111,00";"106,50";"87,75"
"110143 NOVA UNIAO";"0";"0";"50,20";"31,37";"84,21";"75,66";"101,97";"75,49";"75,00";"72,17";"63,95";"111,00";"161,54";"155,81";"82,05";"72,45";"89,80";"87,76";"113,27";"150,00";"134,34";"185,14";"102,73";"146,36";"74,44";"38,30";"29,79";"83,47"
"110145 PARECIS";"0";"0";"7,48";"28,95";"100,00";"86,84";"126,67";"91,01";"110,23";"120,69";"87,34";"82,14";"111,27";"130,91";"98,41";"98,75";"111,25";"86,25";"95,00";"108,82";"109,52";"143,64";"134,69";"114,29";"102,00";"96,08";"52,94";"94,50"
"110146 PIMENTEIRAS DO OESTE";"0";"0";"0";"28,57";"131,75";"198,39";"119,35";"55,17";"86,44";"86,44";"69,23";"95,92";"105,17";"163,89";"136,36";"133,33";"133,33";"108,89";"71,11";"100,00";"117,65";"66,67";"127,03";"197,30";"135,29";"61,54";"40,38";"104,08"
"110147 PRIMAVERA DE RONDONIA";"0";"0";"25,93";"59,13";"67,83";"70,18";"87,72";"79,80";"81,00";"83,00";"96,36";"107,69";"321,43";"148,94";"141,86";"122,00";"110,00";"108,00";"86,00";"145,65";"118,60";"205,13";"114,89";"138,30";"76,79";"55,56";"69,84";"89,26"
"110148 SAO FELIPE D\'OESTE";"0";"0";"14,52";"33,82";"102,21";"107,41";"77,78";"102,88";"94,96";"75,71";"101,19";"109,20";"140,00";"88,17";"101,16";"92,68";"86,59";"102,44";"91,46";"101,39";"125,00";"140,98";"138,98";"89,83";"120,37";"61,33";"49,33";"83,83"
"110149 SAO FRANCISCO DO GUAPORE";"0";"0";"0";"29,63";"108,09";"163,06";"165,66";"158,55";"116,88";"133,06";"100,00";"150,00";"131,10";"137,28";"104,67";"371,43";"422,08";"381,82";"341,56";"110,98";"76,42";"132,33";"113,64";"162,99";"100,33";"92,19";"69,97";"131,95"
"110150 SERINGUEIRAS";"0";"0";"120,96";"166,90";"143,67";"106,90";"62,72";"87,30";"91,25";"88,10";"76,62";"135,92";"145,16";"691,43";"104,55";"112,92";"110,11";"103,93";"89,33";"108,43";"106,32";"104,35";"125,88";"131,76";"100,58";"70,21";"59,04";"101,08"
"110155 TEIXEIROPOLIS";"0";"0";"25,84";"22,52";"90,67";"143,33";"102,00";"175,00";"128,95";"119,48";"102,47";"174,14";"225,64";"300,00";"112,90";"136,54";"142,31";"148,08";"125,00";"90,00";"136,84";"143,75";"108,70";"159,42";"94,92";"110,34";"56,90";"109,60"
"110160 THEOBROMA";"0";"66,67";"44,64";"140,80";"66,30";"89,47";"88,83";"84,03";"100,81";"78,82";"78,44";"112,67";"103,38";"152,86";"137,29";"89,10";"77,56";"91,67";"69,23";"105,04";"120,30";"155,66";"172,80";"176,00";"109,92";"66,44";"21,23";"89,03"
"110170 URUPA";"0";"76,42";"22,87";"58,95";"67,16";"95,97";"114,53";"106,48";"87,05";"91,13";"124,44";"270,20";"311,83";"265,09";"145,79";"124,50";"158,28";"107,95";"122,52";"141,45";"104,11";"105,33";"120,49";"106,56";"93,33";"98,00";"91,33";"99,77"
"110175 VALE DO ANARI";"0";"0";"25,99";"205,56";"182,83";"122,86";"130,97";"105,64";"80,49";"52,09";"112,41";"110,88";"104,23";"307,55";"133,93";"145,63";"109,71";"118,45";"112,62";"139,08";"120,93";"115,73";"34,38";"94,53";"76,36";"123,26";"19,77";"104,93"
"110180 VALE DO PARAISO";"0";"0,35";"43,00";"94,42";"97,86";"80,77";"84,26";"83,25";"83,33";"80,19";"83,85";"113,76";"231,03";"269,81";"133,33";"98,97";"93,81";"105,15";"78,35";"124,68";"121,69";"77,57";"106,67";"101,11";"83,67";"125,32";"55,70";"78,70"
"120001 ACRELANDIA";"0";"233,00";"50,75";"32,03";"118,99";"69,75";"33,97";"159,88";"265,41";"101,12";"64,63";"90,21";"136,61";"129,63";"95,60";"79,26";"83,33";"91,48";"82,96";"93,75";"65,61";"89,11";"68,28";"58,96";"88,74";"76,56";"52,34";"91,43"
"120005 ASSIS BRASIL";"0";"10,79";"15,44";"56,67";"150,00";"85,00";"70,27";"87,61";"93,80";"60,26";"38,83";"53,96";"53,75";"93,16";"50,17";"69,94";"49,40";"53,27";"58,33";"51,55";"23,39";"42,86";"53,89";"48,19";"65,26";"58,47";"46,37";"54,42"
"120010 BRASILEIA";"0";"77,16";"21,11";"256,68";"89,58";"169,61";"80,95";"105,64";"87,17";"114,63";"96,94";"87,10";"80,93";"117,24";"76,85";"100,00";"122,08";"108,49";"101,70";"82,40";"98,02";"59,85";"72,94";"56,49";"85,31";"58,95";"44,56";"86,79"
"120013 BUJARI";"0";"26,80";"20,83";"31,31";"62,50";"242,73";"183,33";"396,43";"293,55";"123,40";"83,90";"90,40";"77,88";"127,12";"75,51";"79,87";"96,23";"101,26";"112,58";"192,35";"87,37";"98,02";"54,55";"26,86";"42,34";"32,25";"24,76";"81,65"
"120017 CAPIXABA";"0";"0";"0";"15,96";"21,00";"81,90";"366,04";"256,92";"185,71";"119,85";"101,29";"99,00";"82,24";"129,80";"81,96";"73,60";"70,56";"84,26";"75,13";"75,36";"64,68";"86,46";"64,53";"39,32";"74,23";"54,73";"23,05";"77,48"
"120020 CRUZEIRO DO SUL";"0";"28,65";"15,78";"88,13";"56,97";"11,04";"37,21";"113,24";"105,85";"102,65";"70,20";"100,97";"79,23";"75,00";"100,88";"102,02";"97,93";"104,31";"97,93";"88,27";"42,98";"51,24";"60,32";"53,00";"59,42";"88,78";"34,26";"69,67"
"120025 EPITACIOLANDIA";"0";"54,77";"9,35";"73,33";"51,07";"126,55";"184,80";"135,64";"112,79";"103,34";"94,51";"114,18";"104,48";"106,14";"116,48";"108,30";"103,40";"109,43";"106,42";"91,29";"56,38";"90,91";"80,92";"87,40";"98,52";"59,45";"24,05";"89,64"
"120030 FEIJO";"0";"33,16";"16,30";"25,07";"65,11";"85,89";"234,39";"130,81";"106,13";"145,25";"82,14";"64,44";"55,92";"381,08";"81,68";"103,43";"119,17";"100,14";"84,98";"51,50";"55,27";"34,82";"41,62";"54,35";"48,97";"55,70";"35,77";"72,17"
"120032 JORDAO";"0";"186,75";"35,23";"55,68";"275,29";"86,59";"1466,67";"1090,91";"818,75";"434,62";"192,31";"30,00";"30,00";"46,63";"83,47";"49,55";"81,98";"101,35";"104,50";"88,38";"55,97";"60,15";"70,82";"87,19";"89,23";"80,83";"57,14";"83,81"
"120033 MANCIO LIMA";"0";"58,33";"43,61";"69,35";"266,32";"131,96";"71,57";"113,71";"117,19";"123,05";"72,45";"53,81";"55,80";"61,89";"65,56";"71,08";"96,03";"80,79";"97,35";"59,96";"36,01";"61,65";"37,05";"51,33";"81,85";"85,75";"52,79";"73,25"
"120034 MANOEL URBANO";"0";"96,81";"289,22";"37,02";"84,58";"66,97";"76,87";"204,60";"160,74";"156,43";"49,73";"64,10";"80,10";"90,72";"90,40";"107,69";"76,92";"107,14";"101,10";"57,03";"42,35";"85,84";"74,07";"85,60";"78,81";"34,10";"29,50";"81,10"
"120035 MARECHAL THAUMATURGO";"0";"11,48";"4,81";"95,63";"13,25";"48,33";"34,21";"115,73";"140,89";"91,29";"113,60";"83,64";"106,96";"84,12";"53,71";"77,78";"98,41";"93,85";"93,25";"81,28";"36,31";"31,94";"24,54";"53,24";"79,35";"68,04";"60,05";"66,19"
"120038 PLACIDO DE CASTRO";"0";"191,57";"13,11";"76,92";"135,34";"308,66";"71,35";"115,48";"84,53";"113,91";"77,65";"72,78";"109,12";"110,89";"94,44";"92,92";"156,64";"118,88";"102,65";"87,69";"85,55";"139,14";"125,47";"83,54";"59,29";"90,16";"48,85";"98,50"
"120039 PORTO WALTER";"0";"0";"9,27";"66,45";"34,01";"174,65";"92,86";"149,32";"114,47";"55,02";"65,31";"38,19";"36,02";"71,60";"90,55";"79,47";"82,10";"83,53";"30,55";"83,29";"52,23";"86,52";"86,53";"75,51";"87,77";"57,45";"45,04";"63,97"
"120040 RIO BRANCO";"0";"70,60";"41,67";"86,76";"75,29";"108,47";"94,08";"87,02";"80,00";"76,65";"60,85";"83,37";"91,25";"98,42";"92,57";"106,97";"85,96";"105,58";"102,31";"94,83";"62,87";"69,46";"65,83";"66,66";"66,42";"69,54";"42,65";"78,17"
"120042 RODRIGUES ALVES";"0";"34,13";"12,45";"81,14";"49,35";"63,78";"119,07";"89,60";"143,75";"108,82";"53,56";"56,52";"77,68";"66,93";"53,77";"65,81";"46,69";"39,52";"75,00";"47,84";"54,87";"99,17";"98,98";"28,75";"39,07";"37,16";"20,22";"60,60"
"120043 SANTA ROSA DO PURUS";"0";"164,29";"386,67";"128,57";"102,70";"125,64";"0";"242,86";"321,57";"386,84";"126,32";"103,23";"51,56";"68,48";"80,63";"58,29";"84,83";"72,99";"94,79";"50,00";"52,51";"55,31";"86,19";"58,01";"115,79";"45,45";"63,13";"83,40"
"120045 SENADOR GUIOMARD";"0";"74,56";"18,97";"154,40";"81,58";"90,37";"54,55";"182,46";"210,58";"213,62";"243,60";"121,43";"160,22";"145,77";"121,61";"136,59";"133,24";"118,99";"161,73";"98,87";"50,00";"46,68";"46,02";"53,32";"55,85";"105,32";"27,34";"98,01"
"120050 SENA MADUREIRA";"0";"88,86";"49,73";"83,10";"72,30";"254,13";"70,29";"93,58";"126,00";"84,99";"41,88";"55,12";"60,15";"66,42";"59,60";"89,43";"84,77";"96,02";"79,15";"64,20";"47,79";"56,79";"58,13";"49,51";"75,75";"80,64";"52,44";"73,23"
"120060 TARAUACA";"0";"30,66";"1,12";"35,99";"6,89";"35,93";"148,25";"79,39";"80,26";"101,77";"47,15";"59,40";"57,34";"125,72";"70,17";"89,74";"82,55";"76,66";"78,59";"81,37";"65,80";"77,86";"71,19";"80,11";"54,31";"61,66";"19,88";"62,46"
"120070 XAPURI";"0";"34,35";"17,96";"252,84";"162,46";"54,38";"80,11";"74,20";"100,25";"107,25";"90,83";"57,76";"98,22";"220,00";"111,60";"146,13";"134,34";"97,64";"113,13";"82,62";"82,32";"95,58";"73,86";"93,46";"76,22";"72,46";"21,97";"92,62"
"120080 PORTO ACRE";"0";"39,57";"1,44";"55,39";"103,02";"158,97";"459,68";"348,00";"271,43";"227,61";"137,50";"119,40";"193,48";"141,39";"115,88";"78,76";"89,09";"56,34";"78,76";"65,74";"65,80";"45,58";"45,50";"51,77";"73,24";"46,74";"29,77";"82,43"
"130002 ALVARAES";"16,52";"18,48";"31,17";"30,11";"32,57";"29,44";"41,47";"48,30";"48,96";"75,56";"71,31";"92,11";"80,68";"94,46";"64,55";"81,23";"74,29";"80,21";"65,04";"75,29";"79,62";"46,76";"67,97";"91,83";"83,23";"65,84";"68,58";"57,81"
"130006 AMATURA";"11,98";"69,49";"39,20";"72,35";"76,27";"97,27";"77,89";"95,94";"131,86";"81,99";"75,00";"129,68";"51,30";"125,95";"56,77";"110,46";"110,04";"85,36";"87,87";"88,02";"94,63";"107,28";"89,39";"107,20";"88,93";"101,87";"79,40";"88,07"
"130008 ANAMA";"6,63";"0";"37,30";"53,89";"92,93";"54,19";"99,52";"73,30";"99,52";"158,85";"124,55";"111,64";"100,44";"99,01";"84,44";"84,07";"104,95";"68,68";"93,41";"96,48";"104,52";"95,57";"60,66";"63,03";"91,71";"116,84";"69,90";"82,57"
"130010 ANORI";"0";"0";"159,68";"125,88";"96,57";"40,91";"78,99";"150,14";"97,78";"91,85";"62,55";"71,58";"75,78";"102,89";"88,38";"118,50";"97,64";"89,37";"90,55";"75,61";"106,48";"79,30";"70,40";"78,00";"77,27";"71,21";"64,98";"84,44"
"130014 APUI";"0";"0";"143,65";"54,24";"73,86";"49,44";"46,09";"63,59";"62,14";"39,59";"73,11";"87,40";"86,69";"97,64";"95,88";"120,09";"108,55";"62,82";"79,49";"86,15";"98,45";"98,21";"79,82";"99,10";"112,32";"98,71";"68,67";"73,72"
"130020 ATALAIA DO NORTE";"0";"9,51";"17,57";"119,35";"100,00";"94,04";"130,59";"67,58";"43,93";"75,35";"67,57";"60,43";"55,56";"101,88";"93,70";"80,58";"68,93";"79,94";"74,76";"96,51";"98,60";"61,93";"58,43";"52,42";"73,14";"57,85";"31,15";"66,76"
"130030 AUTAZES";"0";"2,94";"187,65";"160,15";"90,58";"61,67";"149,40";"85,83";"105,51";"86,46";"75,99";"77,93";"108,19";"89,61";"86,63";"77,01";"91,97";"84,79";"72,26";"61,43";"75,68";"81,39";"44,85";"45,69";"92,01";"82,94";"40,25";"82,01"
"130040 BARCELOS";"0";"0";"80,76";"19,73";"29,61";"26,25";"43,97";"39,04";"54,83";"46,60";"72,31";"68,61";"68,63";"76,54";"64,00";"90,54";"66,55";"54,39";"73,65";"98,65";"36,25";"25,26";"49,75";"66,41";"51,41";"41,41";"30,92";"47,17"
"130050 BARREIRINHA";"0";"0";"43,03";"79,38";"83,55";"82,33";"89,11";"91,93";"73,74";"87,25";"94,23";"80,62";"103,85";"79,91";"91,73";"84,15";"71,19";"83,84";"80,79";"76,85";"90,10";"66,71";"76,04";"83,58";"78,08";"41,03";"51,95";"73,28"
"130060 BENJAMIN CONSTANT";"46,08";"134,15";"78,14";"43,33";"58,54";"57,84";"48,64";"165,33";"101,32";"120,52";"108,39";"91,15";"108,62";"98,95";"93,21";"104,55";"85,73";"79,70";"85,52";"132,64";"100,76";"121,92";"51,03";"88,43";"100,99";"114,82";"39,46";"89,68"
"130063 BERURI";"0";"58,54";"6,45";"69,78";"131,14";"86,99";"77,44";"113,61";"78,65";"109,97";"64,50";"83,10";"82,68";"96,51";"65,74";"83,85";"73,44";"80,73";"70,83";"80,55";"78,69";"61,15";"57,56";"67,29";"74,51";"57,62";"32,66";"71,32"
"130068 BOA VISTA DO RAMOS";"8,13";"44,29";"4,36";"24,21";"49,85";"42,69";"26,45";"102,45";"128,79";"120,71";"69,70";"122,64";"94,29";"85,94";"89,46";"81,25";"95,05";"86,20";"105,21";"135,61";"150,38";"125,31";"109,23";"80,92";"90,06";"78,68";"70,85";"83,02"
"130070 BOCA DO ACRE";"64,99";"18,51";"34,31";"113,31";"77,37";"104,85";"139,33";"72,51";"80,49";"81,27";"69,90";"78,06";"73,04";"68,52";"67,41";"81,09";"71,64";"70,31";"75,63";"79,14";"73,68";"67,19";"47,81";"50,00";"63,40";"47,47";"34,50";"68,48"
"130080 BORBA";"0";"2,28";"51,48";"45,25";"76,06";"60,15";"47,75";"57,57";"81,69";"70,58";"53,72";"79,11";"127,08";"91,01";"90,57";"91,08";"90,30";"112,21";"97,81";"77,72";"82,90";"103,00";"102,82";"77,86";"94,70";"77,79";"48,56";"73,98"
