"Município";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"410275 BELA VISTA DA CAROBA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"111,67";"139,13";"85,11";"166,67";"284,62";"156,41";"212,82";"135,85";"71,43";"125,00";"148,57";"111,43";"219,23";"68,75";"54,17";"63,88"
"410280 BELA VISTA DO PARAISO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"110,00";"97,52";"118,28";"96,22";"90,81";"111,35";"115,68";"81,14";"71,29";"81,70";"80,79";"75,37";"92,38";"88,02";"66,82";"48,52"
"410290 BITURUNA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,86";"48,10";"91,80";"89,61";"107,27";"90,91";"83,64";"78,55";"107,26";"97,82";"101,28";"102,87";"111,89";"96,68";"101,11";"50,00";"44,99"
"410300 BOA ESPERANCA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"78,69";"136,73";"82,61";"75,00";"88,46";"82,69";"75,00";"137,50";"100,00";"76,47";"89,09";"83,64";"125,49";"92,19";"50,00";"37,87"
"410302 BOA ESPERANCA DO IGUACU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88,24";"96,77";"109,68";"103,45";"89,66";"134,48";"141,38";"90,70";"65,79";"102,70";"79,49";"71,79";"118,52";"106,67";"36,67";"40,42"
"410304 BOA VENTURA DE SAO ROQUE";"0";"0";"0";"0";"0";"2,65";"1,47";"0";"0";"0";"0";"0";"58,49";"89,00";"93,81";"94,19";"96,51";"102,33";"98,84";"115,22";"87,21";"80,90";"96,39";"156,63";"87,91";"101,22";"100,00";"51,05"
"410305 BOA VISTA DA APARECIDA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"153,19";"100,00";"100,91";"110,28";"96,26";"124,30";"119,63";"122,68";"76,52";"95,37";"93,60";"70,40";"101,98";"93,50";"79,67";"45,87"
"410310 BOCAIUVA DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61,83";"133,54";"73,01";"100,00";"73,86";"80,11";"76,14";"72,86";"83,80";"108,54";"71,81";"100,00";"103,87";"86,50";"9,00";"45,09"
"410315 BOM JESUS DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"1,39";"0";"0";"0";"91,80";"121,05";"128,57";"123,53";"117,65";"115,69";"62,75";"140,82";"157,58";"119,51";"91,23";"91,23";"126,19";"87,10";"77,42";"58,97"
"410320 BOM SUCESSO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61,04";"88,89";"100,00";"116,67";"98,89";"110,00";"135,56";"126,17";"89,32";"103,92";"107,27";"98,18";"106,82";"102,33";"88,37";"55,91"
"410322 BOM SUCESSO DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20,51";"115,38";"64,86";"130,23";"88,37";"100,00";"100,00";"125,58";"93,88";"97,73";"97,44";"82,05";"114,29";"141,67";"80,56";"50,48"
"410330 BORRAZOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40,00";"178,49";"85,44";"92,47";"89,25";"94,62";"78,49";"128,24";"78,16";"114,93";"95,24";"108,33";"68,93";"76,40";"33,71";"40,49"
"410335 BRAGANEY";"0";"0";"0";"0";"0";"0";"1,02";"0";"0";"0";"0";"0";"59,76";"132,79";"87,50";"75,32";"94,81";"89,61";"80,52";"138,18";"105,88";"78,31";"117,19";"101,56";"91,78";"95,31";"70,31";"42,18"
"410337 BRASILANDIA DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55,81";"126,19";"95,00";"117,07";"119,51";"100,00";"90,24";"144,74";"118,42";"95,65";"89,58";"93,75";"131,82";"90,74";"72,22";"50,15"
"410340 CAFEARA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40,62";"155,00";"68,57";"96,77";"64,52";"116,13";"93,55";"92,86";"80,00";"176,19";"181,48";"125,93";"125,00";"220,00";"200,00";"51,96"
"410345 CAFELANDIA";"0";"0";"0";"0";"0";"0";"0,48";"0";"0";"0";"0";"0";"42,25";"97,66";"82,08";"83,96";"83,49";"128,30";"105,66";"125,91";"59,13";"101,65";"99,63";"89,59";"90,77";"91,67";"66,67";"54,08"
"410347 CAFEZAL DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"112,90";"120,93";"67,24";"98,18";"98,18";"92,73";"107,27";"106,82";"71,43";"108,89";"127,03";"124,32";"125,00";"100,00";"103,92";"48,52"
"410350 CALIFORNIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"63,89";"123,86";"88,50";"107,29";"101,04";"93,75";"75,00";"153,49";"145,26";"133,33";"84,67";"90,51";"75,74";"87,61";"76,99";"50,62"
"410360 CAMBARA";"0";"0";"0";"0";"0";"2,14";"0";"0";"0";"0";"0";"0";"67,70";"118,35";"100,32";"98,73";"91,40";"97,77";"80,25";"85,17";"82,55";"98,95";"66,77";"68,06";"91,99";"84,81";"56,18";"44,83"
"410370 CAMBE";"0";"0";"0";"0";"0";"0,36";"1,18";"0";"0";"0";"0";"0";"78,64";"105,56";"99,21";"97,11";"90,18";"103,24";"104,47";"93,78";"89,90";"82,46";"96,49";"90,93";"91,56";"85,02";"69,89";"48,95"
"410380 CAMBIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"41,58";"137,50";"111,59";"90,36";"92,77";"103,61";"102,41";"134,29";"105,77";"100,00";"135,96";"95,51";"96,70";"98,98";"103,06";"56,95"
"410390 CAMPINA DA LAGOA";"0";"0";"0";"0";"0";"0,61";"1,07";"0";"0";"0";"0";"0";"58,33";"99,00";"97,12";"110,81";"92,97";"131,89";"104,86";"111,65";"101,36";"85,51";"83,91";"102,61";"81,82";"100,00";"71,95";"45,20"
"410395 CAMPINA DO SIMAO";"0";"0";"0";"0";"0";"1,63";"0";"0";"0";"0";"0";"0";"75,00";"122,22";"68,18";"143,48";"95,65";"95,65";"121,74";"105,56";"155,00";"119,57";"72,60";"97,26";"92,19";"151,43";"72,86";"49,82"
"410400 CAMPINA GRANDE DO SUL";"0";"0";"0,68";"0";"1,48";"0";"0,49";"0";"0";"0";"0";"0";"26,87";"84,24";"68,90";"81,89";"81,75";"83,84";"99,03";"98,74";"138,88";"61,68";"42,70";"43,77";"55,47";"50,95";"9,86";"40,76"
"410405 CAMPO BONITO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"59,46";"118,87";"86,27";"97,01";"67,16";"71,64";"83,58";"110,00";"31,88";"112,07";"70,51";"78,21";"103,45";"71,43";"44,44";"37,33"
"410410 CAMPO DO TENENTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47,79";"100,00";"91,53";"85,37";"82,11";"77,24";"87,80";"82,93";"67,80";"114,17";"11,72";"59,38";"79,49";"89,63";"22,96";"40,15"
"410420 CAMPO LARGO";"0";"0";"0";"0";"0";"0";"0";"0";"0,06";"0";"0";"0";"26,76";"55,51";"61,56";"62,94";"62,04";"60,49";"70,59";"101,29";"124,48";"104,12";"34,75";"59,99";"56,80";"47,38";"40,75";"37,48"
"410425 CAMPO MAGRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13,97";"56,76";"98,53";"98,70";"91,97";"86,27";"78,76";"68,75";"68,20";"79,41";"65,93";"82,35";"69,84";"79,23";"50,26";"46,11"
"410430 CAMPO MOURAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62,48";"99,81";"83,88";"94,49";"90,07";"99,55";"101,62";"99,84";"128,08";"81,10";"85,15";"81,83";"92,15";"86,14";"53,00";"46,39"
"410440 CANDIDO DE ABREU";"0";"0";"0";"0";"0";"0";"0";"0";"1,19";"2,31";"0,92";"0,93";"67,59";"110,37";"117,27";"119,59";"64,90";"71,43";"84,08";"101,85";"143,00";"96,45";"79,67";"92,53";"75,66";"98,92";"90,32";"40,01"
"410442 CANDOI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35,39";"98,22";"112,76";"93,12";"93,12";"104,86";"97,98";"137,12";"75,64";"99,09";"105,62";"112,85";"102,93";"76,70";"70,97";"45,62"
"410445 CANTAGALO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"65,33";"105,29";"104,02";"97,93";"92,75";"94,82";"90,16";"139,13";"101,62";"88,42";"119,08";"120,23";"79,41";"92,97";"70,81";"39,68"
"410450 CAPANEMA";"0";"0";"0";"0,30";"0";"0";"0";"0";"0,34";"0";"0";"0";"81,71";"102,97";"66,67";"80,75";"78,87";"98,12";"88,73";"119,82";"85,97";"90,04";"111,79";"97,17";"101,71";"101,20";"73,20";"45,16"
"410460 CAPITAO LEONIDAS MARQUES";"0";"0";"0";"11,90";"0";"1,08";"0";"0";"0";"0";"0";"0";"43,64";"120,73";"91,39";"114,68";"102,29";"86,70";"86,70";"128,43";"67,91";"91,67";"96,68";"97,16";"112,50";"88,11";"50,00";"47,44"
"410465 CARAMBEI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45,70";"89,76";"81,45";"116,67";"75,45";"126,36";"110,91";"100,80";"96,34";"56,87";"84,75";"82,95";"80,66";"95,89";"89,86";"58,23"
"410470 CARLOPOLIS";"0";"0";"0";"0";"0";"0";"3,93";"0";"0";"0";"0";"0";"70,90";"92,12";"126,63";"107,64";"107,64";"124,84";"135,67";"117,55";"112,00";"97,34";"93,96";"86,81";"124,43";"90,59";"0,50";"50,73"
"410480 CASCAVEL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45,56";"96,44";"90,51";"92,71";"87,51";"99,90";"94,63";"101,46";"94,39";"85,43";"57,26";"65,87";"86,97";"84,34";"76,22";"47,76"
"410490 CASTRO";"0";"0";"0";"0";"0";"0";"0";"0";"0,07";"0,07";"0";"0";"63,28";"80,05";"102,49";"95,12";"72,64";"87,71";"86,45";"102,37";"89,22";"87,00";"86,59";"57,22";"82,30";"83,87";"76,34";"43,92"
"410500 CATANDUVAS";"0";"0";"0";"0";"0";"1,52";"0";"0";"0";"0";"0";"0";"40,46";"123,38";"96,24";"117,12";"115,07";"143,84";"110,96";"196,18";"70,73";"129,20";"100,00";"91,18";"100,00";"113,91";"24,35";"49,85"
"410510 CENTENARIO DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37,40";"88,72";"103,33";"108,77";"82,46";"110,53";"96,49";"105,88";"62,02";"96,55";"90,52";"80,17";"119,33";"63,58";"45,66";"37,04"
"410520 CERRO AZUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"72,73";"114,23";"101,94";"105,41";"82,24";"83,01";"76,45";"113,27";"108,12";"74,68";"72,31";"88,02";"94,50";"107,24";"51,58";"42,17"
"410530 CEU AZUL";"0";"0";"0";"0";"0";"1,03";"0";"0";"0";"0";"0";"0";"22,42";"145,30";"63,70";"96,92";"96,92";"87,69";"103,85";"157,76";"60,96";"106,15";"92,09";"100,72";"104,86";"147,69";"66,92";"48,39"
"410540 CHOPINZINHO";"0";"0";"0";"0";"0";"0,67";"0";"0";"1,05";"0,63";"4,91";"1,50";"53,87";"89,16";"93,61";"101,57";"98,43";"96,85";"101,97";"101,86";"97,79";"105,06";"107,09";"98,88";"104,71";"89,93";"61,11";"44,91"
"410550 CIANORTE";"0";"0";"0";"0";"0";"0";"0";"0,12";"0,24";"0";"0";"0,11";"57,26";"89,29";"90,84";"95,05";"76,32";"92,00";"94,32";"99,00";"93,00";"87,39";"105,20";"97,45";"97,47";"91,46";"69,31";"52,70"
"410560 CIDADE GAUCHA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"70,99";"104,23";"78,53";"90,05";"79,06";"80,10";"79,58";"68,79";"100,74";"108,07";"100,00";"99,42";"78,24";"95,27";"83,11";"48,21"
"410570 CLEVELANDIA";"0";"0";"0";"0";"0";"5,58";"0";"0";"0";"0";"0,31";"0";"46,45";"78,64";"76,14";"80,00";"55,47";"66,79";"84,53";"70,68";"81,99";"91,55";"69,86";"79,45";"78,33";"90,00";"63,48";"36,09"
"410580 COLOMBO";"0";"0";"0";"0,79";"0";"0";"0";"0";"0";"0";"0";"0";"45,56";"88,29";"83,95";"88,67";"82,17";"80,04";"81,17";"90,79";"74,65";"84,69";"55,21";"71,20";"63,39";"64,58";"52,68";"41,96"
"410590 COLORADO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"118,86";"100,83";"82,49";"104,53";"89,43";"86,79";"98,87";"87,80";"84,44";"83,64";"110,11";"92,78";"97,28";"85,66";"45,80";"47,33"
"410600 CONGONHINHAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"77,59";"84,17";"78,99";"92,04";"107,96";"65,49";"88,50";"109,65";"110,66";"101,44";"86,55";"100,00";"110,83";"80,29";"32,85";"46,21"
"410610 CONSELHEIRO MAIRINCK";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90,91";"100,00";"100,00";"143,75";"118,75";"159,38";"121,88";"84,09";"170,97";"134,15";"90,91";"100,00";"196,77";"91,07";"73,21";"52,31"
"410620 CONTENDA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21,69";"70,16";"85,03";"89,01";"65,97";"78,53";"60,73";"76,80";"95,22";"109,50";"39,76";"63,45";"70,56";"84,23";"49,38";"39,75"
"410630 CORBELIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54,98";"107,77";"90,38";"95,81";"99,53";"103,26";"91,63";"108,21";"92,99";"128,95";"103,95";"105,93";"97,31";"80,93";"59,14";"49,26"
"410640 CORNELIO PROCOPIO";"0";"0";"0";"0";"0";"0,50";"2,99";"0";"0";"0";"0";"0";"55,82";"95,74";"100,70";"92,91";"78,55";"91,70";"82,53";"84,96";"95,25";"87,23";"77,16";"77,16";"79,45";"83,14";"57,75";"41,59"
"410645 CORONEL DOMINGOS SOARES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"79,28";"103,64";"89,83";"83,33";"96,67";"101,67";"98,33";"99,12";"100,00";"116,81";"92,38";"99,05";"121,59";"100,00";"69,81";"55,33"
"410650 CORONEL VIVIDA";"0";"0";"0";"0";"0";"0";"0,94";"0";"0";"0";"2,66";"0,55";"50,54";"125,09";"121,58";"105,54";"100,74";"107,38";"98,89";"107,31";"112,33";"113,85";"97,15";"105,06";"86,93";"83,48";"69,37";"47,04"
"410655 CORUMBATAI DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"94,83";"131,48";"185,45";"126,67";"97,78";"124,44";"73,33";"117,78";"64,29";"94,12";"126,47";"144,12";"75,47";"130,00";"25,00";"43,30"
"410657 CRUZEIRO DO IGUACU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"98,18";"91,07";"106,38";"77,78";"66,67";"95,24";"79,37";"158,93";"89,66";"107,27";"100,00";"76,27";"180,00";"85,71";"47,62";"45,49"
"410660 CRUZEIRO DO OESTE";"0";"0";"0";"0";"0";"0";"14,59";"0";"2,07";"0";"0";"0";"69,71";"88,14";"84,94";"92,52";"71,65";"80,71";"90,94";"88,06";"83,71";"98,09";"90,94";"83,62";"85,92";"82,19";"59,59";"44,54"
"410670 CRUZEIRO DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61,76";"101,59";"75,00";"81,25";"62,50";"87,50";"68,75";"78,89";"81,13";"86,21";"68,75";"76,25";"113,04";"76,62";"28,57";"42,85"
"410680 CRUZ MACHADO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75,43";"90,41";"101,57";"93,31";"66,95";"61,09";"76,57";"110,80";"97,01";"95,80";"90,40";"87,60";"92,41";"90,95";"44,76";"38,72"
"410685 CRUZMALTINA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10,34";"0";"125,00";"77,78";"69,44";"103,03";"106,06";"84,85";"136,36";"97,44";"58,33";"97,62";"73,81";"95,24";"85,37";"76,19";"73,81";"54,68"
"410690 CURITIBA";"0";"0,25";"0,04";"0";"0,01";"0";"0,01";"0,18";"0,16";"0,23";"0,13";"0,20";"0,36";"0,41";"3,16";"2,12";"1,42";"1,12";"1,11";"1,25";"1,16";"1,36";"1,46";"4,25";"35,87";"77,85";"63,58";"6,92"
"410700 CURIUVA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54,24";"107,75";"145,32";"132,04";"115,53";"114,56";"115,53";"108,89";"71,20";"65,90";"127,14";"106,43";"88,71";"79,89";"41,80";"50,24"
"410710 DIAMANTE DO NORTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"104,76";"101,56";"82,19";"111,76";"89,71";"105,88";"73,53";"107,41";"82,26";"68,18";"110,00";"104,00";"64,41";"108,70";"84,78";"41,46"
"410712 DIAMANTE DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"69,39";"79,03";"64,71";"114,63";"78,05";"73,17";"104,88";"100,00";"71,70";"118,42";"89,80";"93,88";"117,02";"94,34";"77,36";"41,22"
"410715 DIAMANTE D\'OESTE";"0";"0";"0";"11,90";"0";"2,63";"0";"5,06";"0";"0";"3,53";"10,61";"63,75";"115,87";"77,78";"67,82";"68,97";"66,67";"89,66";"106,94";"108,45";"85,90";"76,32";"103,95";"90,62";"82,89";"60,53";"44,24"
"410720 DOIS VIZINHOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"63,67";"103,20";"86,77";"90,60";"77,16";"91,36";"94,82";"101,32";"83,76";"98,06";"83,64";"92,92";"84,79";"87,98";"63,30";"47,75"
"410725 DOURADINA";"0";"0";"0";"0";"0";"0";"10,00";"0";"0";"0";"0";"0";"85,00";"119,15";"95,24";"117,65";"96,08";"116,67";"125,49";"133,63";"92,17";"83,10";"107,83";"121,74";"95,08";"96,06";"64,57";"61,73"
"410730 DOUTOR CAMARGO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"75,93";"134,78";"74,47";"118,00";"90,00";"124,00";"108,00";"88,14";"90,16";"68,49";"105,00";"123,33";"96,92";"129,51";"24,59";"47,25"
"410740 ENEAS MARQUES";"0";"0";"0";"0";"0";"0";"0";"0";"2,35";"0";"0";"0";"43,94";"118,33";"86,57";"103,51";"75,44";"117,54";"107,02";"85,48";"103,03";"108,33";"105,33";"82,67";"102,99";"118,46";"60,00";"40,56"
"410750 ENGENHEIRO BELTRAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3,35";"0";"0";"51,81";"106,42";"106,76";"107,23";"80,72";"100,60";"92,77";"132,28";"124,84";"82,93";"78,01";"72,25";"74,85";"82,42";"29,09";"41,43"
"410752 ESPERANCA NOVA";"0";"0";"0";"0";"0";"0";"51,72";"0";"16,67";"0";"0";"0";"66,67";"115,00";"76,47";"95,24";"109,52";"90,48";"85,71";"105,56";"24,00";"76,00";"45,71";"74,29";"80,77";"100,00";"90,91";"52,97"
"410753 ENTRE RIOS DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74,07";"123,40";"96,15";"96,30";"96,30";"74,07";"88,89";"112,77";"91,23";"163,16";"103,92";"109,80";"89,71";"110,91";"83,64";"60,12"
"410754 ESPIGAO ALTO DO IGUACU";"0";"0";"0";"1,45";"0";"0";"0";"0";"0";"0";"0";"8,57";"56,84";"135,21";"119,67";"81,71";"85,37";"91,46";"97,56";"94,52";"62,34";"83,58";"117,46";"117,46";"89,86";"111,11";"77,78";"49,16"
"410755 FAROL";"0";"0";"0";"0";"0";"0";"14,55";"0";"0";"0";"0";"0";"67,92";"115,22";"82,14";"108,70";"69,57";"82,61";"110,87";"73,68";"109,09";"91,11";"92,16";"86,27";"107,14";"54,17";"31,25";"40,59"
"410760 FAXINAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49,25";"91,67";"75,38";"73,19";"79,15";"97,02";"85,11";"68,28";"104,92";"102,63";"74,91";"75,99";"86,99";"71,48";"47,41";"40,95"
"410765 FAZENDA RIO GRANDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,07";"0";"32,57";"41,64";"42,40";"30,75";"18,83";"20,45";"2,77";"43,39";"88,39";"90,74";"82,80";"76,53";"65,57";"69,93";"28,64";"33,52"
"410770 FENIX";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"107,02";"174,36";"70,83";"143,18";"122,73";"127,27";"90,91";"147,92";"96,43";"78,87";"69,35";"90,32";"155,56";"88,14";"96,61";"49,73"
"410773 FERNANDES PINHEIRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11,21";"0";"71,15";"84,09";"123,33";"120,93";"109,30";"119,77";"122,09";"99,09";"89,09";"108,14";"113,51";"139,19";"107,23";"88,24";"62,75";"57,08"
"410775 FIGUEIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"63,24";"104,48";"143,00";"119,83";"100,83";"101,65";"65,29";"88,60";"0";"69,23";"77,42";"92,47";"112,22";"100,00";"75,26";"39,65"
"410780 FLORAI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"76,47";"58,18";"127,66";"65,45";"70,91";"60,00";"81,82";"78,57";"95,92";"80,95";"63,16";"92,98";"86,67";"83,64";"89,09";"40,99"
"410785 FLOR DA SERRA DO SUL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"84,62";"114,52";"121,67";"131,82";"159,09";"140,91";"154,55";"77,97";"126,92";"100,00";"134,85";"110,61";"113,33";"83,78";"83,78";"46,72"
"410790 FLORESTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"66,67";"84,72";"102,94";"80,00";"81,25";"92,50";"100,00";"76,19";"91,03";"83,70";"72,53";"90,11";"122,50";"75,86";"28,45";"48,20"
"410800 FLORESTOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55,62";"98,58";"111,59";"84,00";"86,00";"108,67";"110,67";"70,79";"81,46";"96,69";"92,98";"88,89";"70,71";"92,00";"51,33";"43,03"
"410810 FLORIDA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"155,56";"129,63";"103,03";"136,00";"96,00";"132,00";"100,00";"144,44";"81,82";"103,23";"93,75";"93,75";"121,43";"166,67";"111,11";"58,59"
"410820 FORMOSA DO OESTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,59";"56,10";"144,26";"73,33";"91,76";"87,06";"81,18";"84,71";"137,68";"62,77";"105,19";"87,21";"84,88";"129,63";"67,89";"77,06";"42,18"
"410830 FOZ DO IGUACU";"0";"0";"0";"2,17";"0";"1,13";"1,47";"0";"0,11";"0";"0";"0,02";"55,15";"91,29";"92,37";"105,47";"94,35";"93,22";"86,18";"99,35";"88,91";"111,45";"72,57";"65,46";"79,14";"97,14";"57,51";"44,73"
"410832 FRANCISCO ALVES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58,70";"88,89";"102,74";"91,36";"87,65";"106,17";"74,07";"96,15";"73,33";"77,89";"81,44";"88,66";"90,74";"96,81";"90,43";"42,19"
"410840 FRANCISCO BELTRAO";"0";"0";"0";"1,13";"0,82";"0,07";"0";"0";"0";"0";"0";"0";"58,81";"92,19";"86,82";"83,93";"67,87";"89,46";"93,33";"100,84";"72,17";"84,73";"87,51";"76,33";"86,47";"80,20";"40,82";"44,22"
"410845 FOZ DO JORDAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"73,21";"130,86";"78,57";"92,77";"80,72";"122,89";"107,23";"87,00";"168,49";"112,94";"91,57";"104,82";"64,84";"84,21";"60,53";"46,13"
"410850 GENERAL CARNEIRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"64,00";"71,43";"85,11";"85,08";"103,23";"69,76";"72,18";"151,08";"66,83";"58,21";"84,21";"91,23";"71,12";"87,94";"19,10";"36,09"
"410855 GODOY MOREIRA";"0";"0";"0";"0";"0";"0";"2,22";"0";"12,50";"0";"0";"0";"113,64";"125,64";"95,35";"67,35";"63,27";"89,80";"73,47";"133,33";"78,38";"96,97";"100,00";"103,23";"177,27";"92,11";"31,58";"42,31"
"410860 GOIOERE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58,04";"105,21";"68,27";"100,00";"66,86";"74,71";"77,62";"105,87";"112,22";"70,32";"85,64";"76,76";"89,01";"68,67";"52,74";"37,21"
"410865 GOIOXIM";"0";"0";"0";"0";"0";"0";"4,73";"0";"0";"0";"0";"0";"106,83";"119,69";"111,29";"102,56";"93,16";"105,13";"93,16";"125,00";"103,54";"98,88";"121,84";"113,79";"95,28";"89,81";"73,15";"52,53"
"410870 GRANDES RIOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"59,82";"104,40";"95,45";"110,10";"67,68";"80,81";"61,62";"125,33";"84,88";"80,21";"67,65";"64,71";"83,53";"84,09";"65,91";"37,31"
"410880 GUAIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68,52";"103,56";"104,51";"134,79";"126,50";"115,90";"117,28";"94,01";"86,08";"111,86";"100,85";"99,79";"120,47";"114,72";"59,27";"55,61"
"410890 GUAIRACA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80,25";"128,38";"112,00";"54,21";"77,57";"79,44";"85,98";"104,12";"24,21";"106,59";"96,47";"120,00";"91,21";"115,58";"93,51";"48,60"
"410895 GUAMIRANGA";"0";"0";"0";"0";"0";"6,06";"0";"0";"0";"0";"0";"0";"93,33";"124,24";"106,09";"111,00";"90,00";"107,00";"114,00";"72,79";"87,13";"127,62";"95,80";"94,12";"111,71";"127,19";"71,93";"60,40"
"410900 GUAPIRAMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44,83";"100,00";"147,27";"107,35";"104,41";"86,76";"83,82";"110,00";"98,18";"100,00";"142,00";"116,00";"98,21";"125,45";"23,64";"51,50"
"410910 GUAPOREMA";"0";"0";"0";"0";"0";"0";"0";"0";"3,85";"0";"0";"0";"42,86";"228,57";"86,36";"105,00";"100,00";"110,00";"100,00";"150,00";"89,47";"91,67";"128,57";"90,48";"114,29";"109,52";"90,48";"46,13"
"410920 GUARACI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"66,04";"49,12";"133,90";"64,41";"84,75";"113,56";"108,47";"80,65";"105,88";"65,57";"110,53";"96,49";"183,87";"86,57";"35,82";"43,87"
"410930 GUARANIACU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55,10";"99,10";"103,00";"92,34";"83,25";"92,82";"74,64";"87,37";"39,69";"54,26";"123,26";"119,19";"101,01";"92,38";"47,62";"36,01"
"410940 GUARAPUAVA";"0";"0";"0";"1,40";"0";"0,36";"0";"0";"0";"0";"0";"0";"67,78";"91,97";"99,67";"82,75";"83,14";"93,42";"92,16";"91,14";"77,99";"89,98";"79,73";"70,36";"73,76";"64,14";"45,48";"41,96"
