 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Categoria CID-10: A95   Febre amarela
Período:1996-2018
"316600 Senhora de Oliveira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"316710 Serro";-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;4
"316555 Setubinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"316750 Simão Pereira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"316760 Simonésia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"316850 Teixeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"316860 Teófilo Otoni";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"317005 Ubaporanga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"317130 Viçosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"320010 Afonso Cláudio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"320030 Alfredo Chaves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"320060 Aracruz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320115 Brejetuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"320130 Cariacica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"320150 Colatina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"320160 Conceição da Barra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320170 Conceição do Castelo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"320190 Domingos Martins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;7
"320245 Ibatiba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"320265 Irupi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"320290 Itarana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"320300 Iúna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320316 Laranja da Terra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"320320 Linhares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320334 Marechal Floriano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"320370 Muniz Freire";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"320400 Pancas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320450 Santa Leopoldina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"320455 Santa Maria de Jetibá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;7
"320460 Santa Teresa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"320490 São Mateus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320495 São Roque do Canaã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320500 Serra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"320503 Vargem Alta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"320506 Venda Nova do Imigrante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320510 Viana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"320520 Vila Velha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"320530 Vitória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
